Unicode,Akshara,Top Modifier,Right Modifier,Bottom Modifier,Left Modifier,Center Modifier,Derived Consonant Modifier,Distinct Constant Modifier,additional_complexity
0C05,అ,0,0,0,0,0,0,0,0
0C06,ఆ,0,0,0,0,0,0,0,0
0C07,ఇ,0,0,0,0,0,0,0,0
0C08,ఈ,0,0,0,0,0,0,0,0
0C09,ఉ,0,0,0,0,0,0,0,0
0C0A,ఊ,0,0,0,0,0,0,0,0
0C0B,ఋ,0,0,0,0,0,0,0,0
0C60,ౠ,0,0,0,0,0,0,0,0
0C0E,ఎ,0,0,0,0,0,0,0,0
0C0F,ఏ,0,0,0,0,0,0,0,0
0C10,ఐ,0,0,0,0,0,0,0,0
0C12,ఒ,0,0,0,0,0,0,0,0
0C13,ఓ,0,0,0,0,0,0,0,0
0C14,ఔ,0,0,0,0,0,0,0,0
0C15,క,0,0,0,0,0,0,0,0
0C16,ఖ,0,0,0,0,0,0,0,0
0C17,గ,0,0,0,0,0,0,0,0
0C18,ఘ,0,0,0,0,0,0,0,0
0C19,ఙ,0,0,0,0,0,0,0,0
0C1A,చ,0,0,0,0,0,0,0,0
0C1B,ఛ,0,0,0,0,0,0,0,0
0C1C,జ,0,0,0,0,0,0,0,0
0C1D,ఝ,0,0,0,0,0,0,0,0
0C1E,ఞ,0,0,0,0,0,0,0,0
0C1F,ట,0,0,0,0,0,0,0,0
0C20,ఠ,0,0,0,0,1,0,0,0
0C21,డ,0,0,0,0,0,0,0,0
0C22,ఢ,0,0,0,0,0,0,0,0
0C23,ణ,0,0,0,0,0,0,0,0
0C24,త,0,0,0,0,0,0,0,0
0C25,థ,0,0,0,0,1,0,0,0
0C26,ద,0,0,0,0,0,0,0,0
0C27,ధ,0,0,0,0,0,0,0,0
0C28,న,0,0,0,0,0,0,0,0
0C2A,ప,0,0,0,0,0,0,0,0
0C2B,ఫ,0,0,0,0,0,0,0,0
0C2C,బ,0,0,0,0,0,0,0,0
0C2D,భ,0,0,0,0,0,0,0,0
0C2E,మ,0,0,0,0,0,0,0,0
0C2F,య,0,0,0,0,0,0,0,0
0C30,ర,0,0,0,0,0,0,0,0
0C31,ఱ,0,0,0,0,0,0,0,0
0C32,ల,0,0,0,0,0,0,0,0
0C33,ళ,0,0,0,0,0,0,0,0
0C35,వ,0,0,0,0,0,0,0,0
0C36,శ,0,0,0,0,0,0,0,0
0C37,ష,0,0,0,0,0,0,0,0
0C38,స,0,0,0,0,0,0,0,0
0C39,హ,0,0,0,0,0,0,0,0
0C4D,్,0,0,0,0,0,0,0,0
0C05a,అ,0,0,0,0,0,0,0,0
0C3E, ా,0,0,0,0,0,0,0,0
0C3F, ి,0,0,0,0,0,0,0,0
0C40, ీ,1,0,0,0,0,0,0,0
0C41, ు,0,0,0,0,0,0,0,0
0C42, ూ,0,0,0,0,0,0,0,0
0C43, ృ,0,0,1,0,0,0,0,0
0C44, ౄ,0,0,1,0,0,0,0,0
0C46, ె,0,0,0,0,0,0,0,0
0C47, ే,1,0,0,0,0,0,0,0
0C48, ై,1,0,1,0,0,0,0,0
0C4A, ొ,0,0,0,0,0,0,0,0
0C4B, ో,1,0,0,0,0,0,0,0
0C4C, ౌ,1,0,0,0,0,0,0,0
0C02,అం,0,0,0,0,0,0,0,0
0C03,అః,0,0,0,0,0,0,0,0
0C15m,క,0,0,1,0,0,0,1,0
0C16m,ఖ,0,0,1,0,0,1,0,0
0C17m,గ,0,0,1,0,0,1,0,0
0C18m,ఘ,0,0,1,0,0,1,0,0
0C19m,ఙ,0,0,1,0,0,1,0,0
0C1Am,చ,0,0,1,0,0,1,0,0
0C1Bm,ఛ,0,0,1,0,0,1,0,0
0C1Cm,జ,0,0,1,0,0,1,0,0
0C1Dm,ఝ,0,0,1,0,0,1,0,0
0C1Em,ఞ,0,0,1,0,0,1,0,0
0C1Fm,ట,0,0,1,0,0,1,0,0
0C20m,ఠ,0,0,1,0,1,1,0,0
0C21m,డ,0,0,1,0,0,1,0,0
0C22m,ఢ,0,0,1,0,0,1,0,0
0C23m,ణ,0,0,1,0,0,1,0,0
0C24m,త,0,0,1,0,0,0,1,0
0C25m,థ,0,0,1,0,1,1,0,0
0C26m,ద,0,0,1,0,0,1,0,0
0C27m,ధ,0,0,1,0,0,1,0,0
0C28m,న,0,0,1,0,0,0,1,0
0C2Am,ప,0,0,1,0,0,1,0,0
0C2Bm,ఫ,0,0,1,0,0,1,0,0
0C2Cm,బ,0,0,1,0,0,1,0,0
0C2Dm,భ,0,0,1,0,0,1,0,0
0C2Em,మ,0,0,1,0,0,0,1,0
0C2Fm,య,0,0,1,0,0,0,1,0
0C30m,ర,0,0,1,0,0,0,1,0
0C31m,ఱ,0,0,1,0,0,1,0,0
0C32m,ల,0,0,1,0,0,0,1,0
0C33m,ళ,0,0,1,0,0,1,0,0
0C35m,వ,0,0,1,0,0,1,0,0
0C36m,శ,0,0,1,0,0,1,0,0
0C37m,ష,0,0,1,0,0,1,0,0
0C38m,స,0,0,1,0,0,1,0,0
0C39m,హ,0,0,1,0,0,1,0,0