Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,answer 1 value,answer 1 score,answer 2 value,answer 2 score,answer 3 value,answer 3 score,answer 4 value,answer 4 score,,Parameter 1 type,Parameter 1 asset,Parameter 1 count,Parameter 2 type,Parameter 2 asset,Parameter 2 count,Parameter 3 type,Parameter 3 asset,Parameter 3 count,Parameter 4 type,Parameter 4 asset,Parameter 4 count,,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_sub_q1093,Subtraction,९२–४८,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1094,Subtraction,९२–७६,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1095,Subtraction,৩১-১৩,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1096,Subtraction,৩১-১৮,1,1,No,,2,,13,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1097,Subtraction,৩২-১৭,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1098,Subtraction,৩৪-১৯,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1099,Subtraction,৪১-১৩,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1100,Subtraction,৪১-১৫,1,1,No,,2,,26,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1101,Subtraction,৪৩-২৯,1,1,No,,2,,14,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1102,Subtraction,৪৫-১৭,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1103,Subtraction,৪৫-১৮,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1104,Subtraction,৪৫-২৭,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1105,Subtraction,৪৬-১৭,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1106,Subtraction,৪৬-২৯,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1107,Subtraction,৪৭-২৮,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1108,Subtraction,৪৭-২৯,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1109,Subtraction,৫১-৩৫,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1110,Subtraction,৫২-১৪,1,1,No,,2,,38,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1111,Subtraction,৫৩-২৪,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1112,Subtraction,৫৬-৩৭,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1113,Subtraction,৬৩-২৭,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1114,Subtraction,৬৩-৩৯,1,1,No,,2,,24,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1115,Subtraction,৬৩-৪৪,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1116,Subtraction,৬৪-৪৮,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1117,Subtraction,৬৬-৪৮,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1118,Subtraction,৬৮-৪৯,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1119,Subtraction,৭১-৩৫,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1120,Subtraction,৭৩-৩৬,1,1,No,,2,,37,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1121,Subtraction,৭৪-৫৭,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1122,Subtraction,৮৪-৩৫,1,1,No,,2,,49,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1123,Subtraction,৮৪-৪৯,1,1,No,,2,,35,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1124,Subtraction,৮৪-৫৭,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1125,Subtraction,৯২-৪৮,1,1,No,,2,,44,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1126,Subtraction,৯২-৭৬,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1127,Subtraction,૩૧-૧૩,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1128,Subtraction,૩૧-૧૮,1,1,No,,2,,13,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1129,Subtraction,૩૨-૧૭,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1130,Subtraction,૩૪-૧૯,1,1,No,,2,,15,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1131,Subtraction,૪૧-૧૩,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1132,Subtraction,૪૧-૧૫,1,1,No,,2,,26,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1133,Subtraction,૪૩-૨૯,1,1,No,,2,,14,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1134,Subtraction,૪૫-૧૭,1,1,No,,2,,28,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1135,Subtraction,૪૫-૧૮,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1136,Subtraction,૪૫-૨૭,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1137,Subtraction,૪૬-૧૭,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1138,Subtraction,૪૬-૨૯,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1139,Subtraction,૪૭-૨૮,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1140,Subtraction,૪૭-૨૯,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1141,Subtraction,૫૧-૩૫,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1142,Subtraction,૫૨-૧૪,1,1,No,,2,,38,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1143,Subtraction,૫૩-૨૪,1,1,No,,2,,29,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1144,Subtraction,૫૬-૩૭,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1145,Subtraction,૬૩-૨૭,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1146,Subtraction,૬૩-૩૯,1,1,No,,2,,24,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1147,Subtraction,૬૩-૪૪,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1148,Subtraction,૬૪-૪૮,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1149,Subtraction,૬૬-૪૮,1,1,No,,2,,18,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1150,Subtraction,૬૮-૪૯,1,1,No,,2,,19,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1151,Subtraction,૭૧-૩૫,1,1,No,,2,,36,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1152,Subtraction,૭૩-૩૬,1,1,No,,2,,37,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1153,Subtraction,૭૪-૫૭,1,1,No,,2,,17,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1154,Subtraction,૮૪-૩૫,1,1,No,,2,,49,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1155,Subtraction,૮૪-૪૯,1,1,No,,2,,35,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1156,Subtraction,૮૪-૫૭,1,1,No,,2,,27,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1157,Subtraction,૯૨-૪૮,1,1,No,,2,,44,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1158,Subtraction,૯૨-૭૬,1,1,No,,2,,16,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1159,Subtraction,୩୧-୧୩,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1160,Subtraction,୩୧-୧୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1161,Subtraction,୩୨-୧୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1162,Subtraction,୩୪-୧୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1163,Subtraction,୪୧-୧୩,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1164,Subtraction,୪୧-୧୫,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1165,Subtraction,୪୩-୨୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1166,Subtraction,୪୫-୧୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1167,Subtraction,୪୫-୧୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1168,Subtraction,୪୫-୨୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1169,Subtraction,୪୬-୧୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1170,Subtraction,୪୬-୨୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1171,Subtraction,୪୭-୨୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1172,Subtraction,୪୭-୨୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1173,Subtraction,୫୧-୩୫,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1174,Subtraction,୫୨-୧୪,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1175,Subtraction,୫୩-୨୪,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1176,Subtraction,୫୬-୩୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1177,Subtraction,୬୩-୨୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1178,Subtraction,୬୩-୩୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1179,Subtraction,୬୩-୪୪,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1180,Subtraction,୬୪-୪୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1181,Subtraction,୬୬-୪୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1182,Subtraction,୬୮-୪୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1183,Subtraction,୭୧-୩୫,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1184,Subtraction,୭୩-୩୬,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1185,Subtraction,୭୪-୫୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1186,Subtraction,୮୪-୩୫,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1187,Subtraction,୮୪-୪୯,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1188,Subtraction,୮୪-୫୭,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1189,Subtraction,୯୧-୭୬,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
q_sub_q1190,Subtraction,୯୨-୪୮,1,1,No,,2,,Actual answer,,,,,,,,,,,,,,,,,,,,,,"M92 - Two digit numbers, addition upto 99 (grouping)",,
