Code,Title,Question Body,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Level,Difficulty Level,Options 1 type,Options 1 asset,Options 1 score,Options 2 type,Options 2 asset,Options 2 score,Options 3 type,Options 3 asset,Options 3 score,Options 4 type,Options 4 asset,Options 4 score,Related micro-concepts,Related micro-concepts,Related micro-concepts
q_1_s_English,Read the story,"Rani is a little girl. Her
mother gave her a book. It
had lots of stories. It also had
many pictures. Rani read it
every morning on her way
to school. She learned many
new words. That made her
teacher very happy",42,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_English,Read the story,"It was the rainy season. The
sky was full of clouds. Asif
wanted to play. His brother
got a thick rope. They tied
it on the tree to make a
swing. Many childen joined
them. They played till it got
dark.",41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_English,Read the story,"Salma is a little girl. She
had a pretty doll. One
day the doll fell from her
hand to the floor. It broke
into many pieces. Salma
was very sad. Her mother
gave her another doll.
Now she is happy again",41,1/0,No,No,2,,image,square.png,1,image,circle.png,1,image,triangle.png,1,image,diamond.png,1,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_English,Read the story,"Amit got a new cycle. It had
two big wheels and a bell.
One day he fell down while
riding the cycle. One wheel
of the cycle broke. Amit was
very sad. He went back
home. His father fixed the
cycle soon",42,1/0,No,No,2,,audio,lion.mp3,1,audio,cat.mp3,1,audio,horse.mp3,1,audio,cow.mp3,1,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_hindi,Read the story,"सावन का महीना था | आसमान में काले-काले बादल छाए थे | ठंडी हवा चल रही थी | मुझे झुला झूलने का मन किया | बड़े भैया एक मोटी सी रस्सी लेकर आए | भैया ने रस्सी को पेड़ से लटकाकर झुला बनाया | सब ने मिलकर झूला झूला | 

",44,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_hindi,Read the story,नगमा समझदार लड़की थी | मगर उसका भाई अमन बहुत नटखट था | एक दिन दोनों बाज़ार में घूम रहे थे | अमन ने रास्ते में पकौड़े देखे | नगमा ने कहा पकौड़े तीखे होंगे | मगर अमन नहीं माना | पकौड़े खाकर उसकी आँखों से आँसू निकलने लगे |,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_hindi,Read the story,रामपुर में एक मैदान था | वहाँ  कोई नहीं खेलता था | एक दिन कुछ लोग आए | सबने मिलकर सोचा की यहाँ बग़ीचा बनाया जाए | खाद मंगाकर तरह-तरह के पौधे लगाए गए | आज वहाँ एक सुंदर बग़ीचा है | अब वहाँ सभी खेलने जाते हैं |,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_hindi,Read the story,दूर एक गाँव था | वहाँ राजू नाम का लड़का रहता था | उसकी बहन और भाई भी साथ रहते थे | उसका भाई विद्यालय में पढ़ता था | उसकी बहन बहुत तेज़ दौड़ती थी | उसे लंबी दौड़ लगाना अच्छा लगता था | वे तीनों रोज़ मौज-मस्ती करते थे |,45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_marathi,Read the story,,40,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_marathi,Read the story,,41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_marathi,Read the story,,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_marathi,Read the story,,47,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_kannada,Read the story,"ಆಮೆ ಮತ್ತು ಮೊಲ ಒಳ್ಳೆಯ ಸ್ನೇಹಿತರಾಗಿದ್ದರು. ಒಂದು ದಿನ ಆಮೆ ಮತ್ತು
ಮೊಲ ಸ್ಪರ್ಧೆ ಏರ್ಪಾಟು ಮಾಡಿಕೊಂಡವು. ಯಾರು ಮೊದಲು ಪಕ್ಕದ ಊರನ್ನು ತಲುಪುವರೋ  ಅವರಿಗೆ ಬಹುಮಾನ ಎಂದು ಘೋಷಿಸಿದವು. ಮೊಲ ಓಡುತ್ತಾ
ಮುಂದೆ ಸಾಗಿತು. ಅರ್ಧ ದಾರಿ ಸಾಗಿದ ಮೇಲೆ ಮೊಲ ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ಬಯಸಿತು. ಅಲ್ಲೇ ಮರದ ಕೆಳಗೆ
ನಿದ್ರೆ ಮಾಡಿತು. ಅಷ್ಟರಲ್ಲೇ ಆಮೆ ಬೇಗನೇ ಊರನ್ನು ತಲುಪಿ ಸ್ಪರ್ಧೆಯಲ್ಲಿ  ಜಯಿಸಿತು",45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_kannada,Read the story,"ವಿಮಲ ಕರಿಯನ ತಂಗಿ. ವಿಮಲೆಗೆ ಕುದುರೆ ಹಾಗು ಕರಿಯನಿಗೆ ಕೋತಿ ಕಂಡರೆ
ಒಲವು. ವಿಮಲ ಮತ್ತು ಕರಿಯ ನೀರು ತರಲು ಕುದುರೆ ಮತ್ತು ಕೋತಿಯ ಜೊತೆಗೆ ನೀರಿನ ಕೊಳಕ್ಕೆ ಹೋದರು.
ಕೊಳದಿಂದ ನೀರನ್ನು ತಂದು ಕೈಕಾಲು ಮುಖ ತೊಳೆದರು. ಕೋತಿ ಸಂತೋಷದಿಂದ ಲಾಗ ಹಾಕಿ ಕುಣಿಯಿತು.
ಕುದುರೆ ಆನಂದದಿಂದ ಕೆನೆಯಿತು.ತಾಯಿ ಇಬ್ಬರಿಗೂ ಹಾಲು ಕುಡಿಯಲು ನೀಡಿದಳು.ನಂತರ ಇಬ್ಬರೂ ಆಟ ಆಡಲು
ಹೊರಗೆ ಹೋದರು",47,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_kannada,Read the story,"ಒಂದು ಊರಿನಲ್ಲಿ ಒಂದು ಆನೆ ಇತ್ತು. ಅ ಆನೆಗೆ ಗುಬ್ಬಿ, ನಾಯಿ
ಹಾಗೂ ರಮೇಶ ಎಂಬ ಗೆಳೆಯರಿದ್ದರು. ಒಂದು ದಿನ ಕಳ್ಳರು ಆ ಊರಿಗೆ ಬಂದು ಆನೆಯನ್ನು ಮರಕ್ಕೆ ಕಟ್ಟಿ
ಹಾಕಿ ಅದರ ದಂತವನ್ನು ತೆಗೆಯಲು ಪ್ರಯತ್ನಿಸಿದರು. ಆನೆಗೆ ಆದ ಪಾಡನ್ನು ನೋಡಿ ಅಲ್ಲೇ ಇದ್ದ
ಗೆಳೆಯ ಗುಬ್ಬಿ ಹಾರಿ ರಮೇಶ ಮತ್ತು ಊರಿನ ಜನರಿಗೆ ತಿಳಿಸಿತು. ನಂತರ ಎಲ್ಲರೂ ಒಟ್ಟಾಗಿ ಬಂದು
ಕಳ್ಳರನ್ನು ಹಿಡಿದರು. ಆನೆಯನ್ನು ಬಿಡಿಸಿದರು",50,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_kannada,Read the story,"ಒಂದು ಕಾಡಿನ ಗುಹೆಯಲ್ಲಿ ಸಿಂಹ ವಾಸವಾಗಿತ್ತು. ಅದರ ಬಳಿ ಇಲಿಯೊಂದು
ಬಂದಿತು. ಸಿಂಹ ಇಲಿಯನ್ನು ಕೊಲ್ಲಲು ಮುಂದೆ ಬಂದಿತು. ಆದರೆ ಇಲಿ ನನ್ನನ್ನು ಕೊಲ್ಲಬೇಡ ಎಂದು
ವಿನಂತಿಸಿತು. ಮುಂದೆ ಎಂದಾದರೂ ನಿನಗೆ ಸಹಾಯ ಮಾಡುತ್ತೇನೆ ಎಂದು ಹೇಳಿತು.ಕೆಲ ದಿನಗಳ ನಂತರ
ಬೇಟೆಗಾರನ ಬಲೆಯಲ್ಲಿ ಸಿಂಹ ಸಿಕ್ಕಿ ಬಿದ್ದಿತು. ಆಗ ಇಲಿ ಬಂದು ತನ್ನ  ಹಲ್ಲಿನಿಂದ ಬಲೆಯನ್ನು ಕತ್ತರಿಸಿ ಸಿಂಹವನ್ನು ಅಪಾಯದಿಂದ ಪಾರು
ಮಾಡಿತು",45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_punjabi,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_punjabi,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_punjabi,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_punjabi,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_tamil,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_tamil,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_tamil,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_tamil,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_telugu,Read the story,అది ఎండాకాలం. రమేష్ వాళ్ళ మామయ్య ఇంటికి బయలుదేరాడు. అతనికి దారిలో దాహం వేసింది. రమేష్ కు చుట్టు ప్రక్కల ఎక్కడ నీళ్ళు కనిపించలేదు.కొంత దూరములో ఒక కొబ్బరి చెట్టు మీద కోతి కనిపించింది. రమేష్ కు మెరుపులా ఒక ఆలోచన వచ్చింది. వెంటనే ఒక రాయి తీసి దాన్ని బలంగా కోతి ఫై విసిరాడు. కోతి కూడ కొబ్బరి కాయను తెంపి రమేష్ పైకి తిరిగి విసిరింది. ,50,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_telugu,Read the story,"ఒక కొలనులో ఒక హంస ఉంది. ఆ కొలనులోకి ఒక కాకి వచ్చింది. హంసను చూసి నవ్వింది. నాలాగా నీవు ఎగరులేవని అవహేళన చేసింది. హంస కాకికి బుద్ధి చెప్పాలి అని తలచింది. పందెమునకు సరే అని అంది. కాకి ఆకాశంలో వేగంగా, ముందుకూ వెనుక్కూ ఎగురుతూ ఉంది.హంస మెల్లగా ఎగురుతూవస్తాంది.కాకి అలా తిరిగి అలిసిపోయింది. కొలనులో పడిపోతుండగా హంస దాన్ని కాపాడింది",48,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_telugu,Read the story,"రఘు నిద్రలేచే సరికి వెలుగు కనపడింది. అతను వెలుగు వస్తున్న వైపు వెళ్ళాడు. ప్రతిరోజు ఆ వైపున ఆకాశంలో సూర్యడు ఉదయిస్తాడు. రఘు వెనకాలే అతని అక్కయ్య వచ్చింది. సూర్యడు ఉదయించే దిక్కును తూర్పు దిక్కును అంటారు. అస్తమించే దిక్కును పడమర దిక్కు అంటారు. ఉదయించే సూర్యునికి ఎదురుగా నిలబడి చేతులు చాచితే ఎడమవైపు ఉన్న దిక్కును ఉత్తర దిక్కు అని, కుడివైపు ఉన్న దిక్కును దక్షిణ దిక్కు అని అంటారు",51,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_telugu,Read the story,"రమ,రాము అన్నా చెల్లెళ్ళు. రమ అంటే రాముకు ఎంతో ఇష్టం. ఒక రోజు రమ రాముతో ఆడుకుంటున్నది. రమ ఆడుతూ దోమల మందు చక్రం చూసింది. రమ చక్రంతో దోమల మందు చక్రం చూసింది. రమ చక్రం కావాలని అన్నయ్యను అడిగింది. అన్నయ్య ఇవ్వలేదని ఏడ్చింది. రాము కొంచెం సేపు ఆలోచించాడు. అతనికి ఒక ఉపాయం తట్టింది. వెంటనే లోపలికి వెళ్లి అమ్మను అడిగి ఒక చక్కిలం తెచ్చి చెల్లికి ఇచ్చాడు. చక్కిలం కూడా దోమల మందు చక్రంలా గుడ్రంగా ఉంది",59,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_bengali,Read the story,"আমার বাড়ির সামনে একটা ডাকঘর আছে | অনেক লোকের ভিড় হয়
সেখানে | নানা দেশের চিঠি আসে | সেখানে টাকাও জমা রাখা যায় | আমার মা ডাকঘরে টাকা জমিয়ে
রাখেন | আমি তিনবার ডাকঘরে গিয়েছি | বাবাকে দিনাজপুরে চিঠি লিখেছি | ঘাটালের পিসিকেও
একটা বড়ো চিঠি লিখেছি | আর আজ রাতে বনগার পলাশ দাদাকে লিখবো ",46,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_bengali,Read the story,"তিথি বাড়ির একমাত্র মেয়ে | বাবা
মা আর কাকা তাকে খুব ভালোবাসেন | সে মাছ খেতে ভালোবাসে | ওর বাবা রোজ বাড়িতে নানা রকম
মাছ আনেন | তিথি তখন মায়ের পাশে ঘুরঘুর করতে থাকে | মাছ তেলে ছাড়া হলেই তার মন খুশিতে
ভরে যায় | তিথি একসাথে তিন চারটে মাছ ভাজা খেয়ে নেয় |",47,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_bengali,Read the story,"দাদুর বাগানে অনেক গাছ | দাদু নিজে
গাছ লাগান | ফুলে ফলে ভরা দাদুর বাগান | একদিন দাদু ভোরে বাগানে কাজ করছিলেন | পাড়ার
ছেলেমেয়েরা এসে জড়ো হল | সবার ইচ্ছা দাদুর সাথে বাগানে কাজ করবে | দাদু রাজি হলেন
| একজন কোদাল দিয়ে মাটি কোপাল | কয়েকজন গাছের চারা লাগাল | অনেক দৌড় ঝাঁপ করে কাজ শেষ
হল |",50,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_bengali,Read the story,"খড়িয়া গ্রামে একটা বড়ো খেলার মাঠ
আছে | রোজ বিকালে ছেলে মেয়েরা খেলতে আসে | কেউ ফুটবল খেলে, কেউ দৌড়াদৌড়ি করে | মাঝে
মাঝে খেলার আয়োজন হয় বড়ো করে | তখন সবাই মাঠের ধারে লাল সাদা আলো আর ফুল লাগায় | রেফারি
থাকেন বাঁশি নিয়ে | মাঠের চারধারে অনেক লোক জড়ো হয় ",46,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_gujarati,Read the story,"શિયાળો આવે એટલે ઠંડી લાગે અને 
ઊનનાં કપડાં પહેરવાં ગમે. રાતે 
તાપણું કરી તેની ફરતે ગોળ બેસી
વાતો કરવી ગમે. ઉનાળો આવે ત્યારે
ગરમી શરૂ થઈ જાય. પાતળા કપડાં
પહેરવાં ગમે અને પંખામાં સુવું ગમે.
ચોમાસું આવે એટલે ખુબ વરસાદ",41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_gujarati,Read the story,"આકાશમાં અગણિત તારા હોય છે.
હું અને મારો નાનો ભાઈ રોજ રાત્રે
તારા ગણીએ છીએ. તારા ગણવાની
મજા પડે. ગણાતાં ગણાતાં ભૂલ પડે.
હું તો રોજ જ ગણુંને, રોજ ભૂલું છું.
બધા તારા મારા મિત્રો નથી. કોઈક 
ખરતા તારાને જોઇને અમે બેઉ
એક ઈચ્છા કરીએ છીએ",,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_gujarati,Read the story,આજે હું મારા દાદા અને ભાઈ સાથે ગામમાં ભરતો સૌથી મોટો મેળો જોવા જવાની છું.હું અને ભાઈ તો મેળામાં ખૂબ મજા કરીશું.અમે તો મદારીનો અને જાદુનો ખેલ જોઈશું હું તો પછી ઘોડા પર પણ બેસીશ. મારા દાદા મને ફૂગ્ગા લઇ આપશે,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_gujarati,Read the story,"જંગલમાં તળાવ કાંઠેએક ઝાડ હતું.
ઝાડ ઉપર વાંદરાઓનું એક ટોળું 
સૂતું હતું.એક વાંદરાએ તળાવમાં
ચાંદો જોયો. તેણે બધાને જગાડી 
દીધા. બધાને થયું કે આ તો મોટું ફળ
છે. પણ આ ફળ કેવી રીતે લેવું ? 
વાંદરાઓ એકબીજાની પુંછડી પકડી
તળાવ સુધી પહોચ્યાં",,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_malayalam,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_malayalam,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_malayalam,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_malayalam,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_oriya,Read the story,,41,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_oriya,Read the story,,45,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_oriya,Read the story,,44,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_oriya,Read the story,,43,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_1_s_urdu,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_2_s_urdu,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_3_s_urdu,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
q_4_s_urdu,Read the story,,,1/0,No,No,2,,,,,,,,,,,,,,LO50 - Decoding & Fluency - Speed and Accuracy in text reading,,
