Code,Title,,Leave these 3 columns blank,,,Template,Template ID,Number of Answers,Maximum Score,Partial Scoring,Feedback,Grade Grade,Difficulty Level,Keywords,Options 1 asset,Options 1 answer,Options 2 asset,Options 2 answer,Options 3 asset,Options 3 answer,Options 4 asset,Options 4 answer
Unique code for the question,Title for the assessment item,Question Body,Question Image,Question Audio,Question Repeat,,,How many answers are there?,How many marks can be allotted?,Partial scoring is allowed?,Feedback to show if the item is answered incorrectly,Grade Grade,How difficult is the question?,,,,,,,,,
ek.n.ib.m.t.2.4,Pick the correct answer,2 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,6,No,10,No,6,No
ek.n.ib.m.t.2.5,Pick the correct answer,2 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,10,Yes,7,No,12,No
ek.n.ib.m.t.2.2,Pick the correct answer,2 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",6,No,2,No,4,Yes,2,No
ek.n.ib.m.t.2.7,Pick the correct answer,2 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,16,No,12,No,14,Yes
ek.n.ib.m.t.2.9,Pick the correct answer,2 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,Yes,11,No,20,No,16,No
ek.n.ib.m.t.2.8,Pick the correct answer,2 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,16,Yes,10,No,18,No
ek.n.ib.m.t.2.1,Pick the correct answer,2 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",4,No,1,No,2,Yes,3,No
ek.n.ib.m.t.2.6,Pick the correct answer,2 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,14,No,10,No,12,Yes
ek.n.ib.m.t.2.3,Pick the correct answer,2 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",6,Yes,5,No,8,No,4,No
ek.n.ib.m.t.2.10,Pick the correct answer,2 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,20,Yes,12,No,22,No
ek.n.ib.m.t.3.7,Pick the correct answer,3 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,Yes,10,No,24,No,18,No
ek.n.ib.m.t.3.4,Pick the correct answer,3 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,12,Yes,7,No,15,No
ek.n.ib.m.t.3.3,Pick the correct answer,3 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,6,No,9,Yes,6,No
ek.n.ib.m.t.3.5,Pick the correct answer,3 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,No,18,No,12,No,15,Yes
ek.n.ib.m.t.3.9,Pick the correct answer,3 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",27,Yes,12,No,30,No,24,No
ek.n.ib.m.t.3.1,Pick the correct answer,3 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,3,Yes,4,No,6,No
ek.n.ib.m.t.3.2,Pick the correct answer,3 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,3,No,6,Yes,5,No
ek.n.ib.m.t.3.8,Pick the correct answer,3 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,27,No,21,No,24,Yes
ek.n.ib.m.t.3.10,Pick the correct answer,3 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,Yes,13,No,33,No,27,No
ek.n.ib.m.t.3.6,Pick the correct answer,3 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",15,No,18,Yes,9,No,21,No
ek.n.ib.m.t.4.2,Pick the correct answer,4 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,6,No,12,No,4,No
ek.n.ib.m.t.4.4,Pick the correct answer,4 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,16,Yes,8,No,20,No
ek.n.ib.m.t.4.6,Pick the correct answer,4 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,20,No,24,Yes,10,No
ek.n.ib.m.t.4.8,Pick the correct answer,4 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,36,No,28,No,32,Yes
ek.n.ib.m.t.4.10,Pick the correct answer,4 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,Yes,14,No,44,No,36,No
ek.n.ib.m.t.4.1,Pick the correct answer,4 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,4,Yes,5,No,8,No
ek.n.ib.m.t.4.5,Pick the correct answer,4 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,No,16,No,20,Yes,9,No
ek.n.ib.m.t.4.3,Pick the correct answer,4 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",7,No,16,No,8,No,12,Yes
ek.n.ib.m.t.4.7,Pick the correct answer,4 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,Yes,11,No,32,No,24,No
ek.n.ib.m.t.4.9,Pick the correct answer,4 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,36,Yes,13,No,40,No
ek.n.ib.m.t.5.1,Pick the correct answer,5 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",5,Yes,6,No,10,No,1,No
ek.n.ib.m.t.5.3,Pick the correct answer,5 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,15,Yes,8,No,20,No
ek.n.ib.m.t.5.5,Pick the correct answer,5 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,No,20,No,25,Yes,10,No
ek.n.ib.m.t.5.7,Pick the correct answer,5 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,40,No,30,No,35,Yes
ek.n.ib.m.t.5.10,Pick the correct answer,5 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,Yes,15,No,55,No,45,No
ek.n.ib.m.t.5.9,Pick the correct answer,5 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,No,45,Yes,14,No,50,No
ek.n.ib.m.t.5.8,Pick the correct answer,5 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",45,No,35,No,40,Yes,13,No
ek.n.ib.m.t.5.6,Pick the correct answer,5 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,35,No,25,No,30,Yes
ek.n.ib.m.t.5.4,Pick the correct answer,5 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",20,Yes,9,No,25,No,15,No
ek.n.ib.m.t.5.2,Pick the correct answer,5 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",5,No,10,Yes,7,No,15,No
ek.n.ib.m.t.6.4,Pick the correct answer,6 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,Yes,10,No,30,No,18,No
ek.n.ib.m.t.6.3,Pick the correct answer,6 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,18,Yes,9,No,24,No
ek.n.ib.m.t.6.2,Pick the correct answer,6 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,6,No,12,Yes,8,No
ek.n.ib.m.t.6.7,Pick the correct answer,6 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",13,No,48,No,36,No,42,Yes
ek.n.ib.m.t.6.8,Pick the correct answer,6 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,54,No,42,No
ek.n.ib.m.t.6.9,Pick the correct answer,6 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,No,54,Yes,15,No,60,No
ek.n.ib.m.t.6.10,Pick the correct answer,6 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,54,No,60,Yes,16,No
ek.n.ib.m.t.6.6,Pick the correct answer,6 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,42,No,30,No,36,Yes
ek.n.ib.m.t.6.5,Pick the correct answer,6 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",30,Yes,11,No,36,No,24,No
ek.n.ib.m.t.6.1,Pick the correct answer,6 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,6,Yes,7,No,12,No
ek.n.ib.m.t.7.10,Pick the correct answer,7 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",70,Yes,17,No,77,No,63,No
ek.n.ib.m.t.7.5,Pick the correct answer,7 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",28,No,35,Yes,12,No,42,No
ek.n.ib.m.t.7.1,Pick the correct answer,7 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,1,No,7,Yes,8,No
ek.n.ib.m.t.7.7,Pick the correct answer,7 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,No,56,No,42,No,49,Yes
ek.n.ib.m.t.7.2,Pick the correct answer,7 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",14,Yes,9,No,21,No,7,No
ek.n.ib.m.t.7.4,Pick the correct answer,7 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",21,No,28,Yes,11,No,35,No
ek.n.ib.m.t.7.8,Pick the correct answer,7 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,No,49,No,56,Yes,15,No
ek.n.ib.m.t.7.3,Pick the correct answer,7 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,28,No,14,No,21,Yes
ek.n.ib.m.t.7.6,Pick the correct answer,7 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",42,Yes,13,No,49,No,35,No
ek.n.ib.m.t.7.9,Pick the correct answer,7 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",56,No,63,Yes,16,No,70,No
ek.n.ib.m.t.8.1,Pick the correct answer,8 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",8,Yes,9,No,16,No,1,No
ek.n.ib.m.t.8.4,Pick the correct answer,8 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",24,No,32,Yes,12,No,40,No
ek.n.ib.m.t.8.7,Pick the correct answer,8 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,48,No,56,Yes,15,No
ek.n.ib.m.t.8.10,Pick the correct answer,8 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,72,No,80,Yes
ek.n.ib.m.t.8.2,Pick the correct answer,8 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",16,Yes,10,No,24,No,8,No
ek.n.ib.m.t.8.5,Pick the correct answer,8 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",32,No,40,Yes,13,No,48,No
ek.n.ib.m.t.8.8,Pick the correct answer,8 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,56,No,64,Yes,16,No
ek.n.ib.m.t.8.3,Pick the correct answer,8 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,No,32,No,16,No,24,Yes
ek.n.ib.m.t.8.6,Pick the correct answer,8 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",48,Yes,14,No,56,No,40,No
ek.n.ib.m.t.8.9,Pick the correct answer,8 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",64,No,72,Yes,17,No,80,No
ek.n.ib.m.t.9.7,Pick the correct answer,9 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",63,Yes,16,No,72,No,54,No
ek.n.ib.m.t.9.2,Pick the correct answer,9 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",9,No,18,Yes,11,No,27,No
ek.n.ib.m.t.9.5,Pick the correct answer,9 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",54,No,36,No,45,Yes,14,No
ek.n.ib.m.t.9.1,Pick the correct answer,9 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",10,No,18,No,1,No,9,Yes
ek.n.ib.m.t.9.8,Pick the correct answer,9 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,Yes,17,No,81,No,63,No
ek.n.ib.m.t.9.9,Pick the correct answer,9 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",72,No,81,Yes,18,No,90,No
ek.n.ib.m.t.9.10,Pick the correct answer,9 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",99,No,81,No,90,Yes,19,No
ek.n.ib.m.t.9.3,Pick the correct answer,9 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,36,No,18,No,27,Yes
ek.n.ib.m.t.9.4,Pick the correct answer,9 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",36,Yes,13,No,45,No,27,No
ek.n.ib.m.t.9.6,Pick the correct answer,9 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",45,No,54,Yes,15,No,63,No
ek.n.ib.m.t.10.5,Pick the correct answer,10 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,Yes,15,No,60,No,40,No
ek.n.ib.m.t.10.6,Pick the correct answer,10 × 6 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,60,Yes,16,No,70,No
ek.n.ib.m.t.10.4,Pick the correct answer,10 × 4 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",50,No,30,No,40,Yes,14,No
ek.n.ib.m.t.10.7,Pick the correct answer,10 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",17,No,80,No,60,No,70,Yes
ek.n.ib.m.t.10.8,Pick the correct answer,10 × 8 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,Yes,18,No,90,No,70,No
ek.n.ib.m.t.10.1,Pick the correct answer,10 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",1,No,10,Yes,11,No,20,No
ek.n.ib.m.t.10.3,Pick the correct answer,10 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",40,No,20,No,30,Yes,13,No
ek.n.ib.m.t.10.2,Pick the correct answer,10 × 2 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",12,No,30,No,10,No,20,Yes
ek.n.ib.m.t.10.10,Pick the correct answer,10 × 10 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",100,Yes,20,No,110,No,90,No
ek.n.ib.m.t.10.9,Pick the correct answer,10 × 9 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",80,No,90,Yes,19,No,100,No
ek.n.ib.m.t.11.1,Pick the correct answer,11 × 1 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",11,Yes,12,No,22,No,1,No
ek.n.ib.m.t.11.3,Pick the correct answer,11 × 3 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",22,No,33,Yes,14,No,44,No
ek.n.ib.m.t.11.5,Pick the correct answer,11 × 5 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",66,No,44,No,55,Yes,16,No
ek.n.ib.m.t.11.7,Pick the correct answer,11 × 7 = ?,,,,org.ekstep.mcq.t.ta,domain_3490,1,1,No,Please try again!,Grade 2,EASY,"multiplication, multiplication tables, tables",18,No,88,No,66,No,77,Yes
