Code,Concepts,Title,Question,Question Image,Question Audio,Image Count,Domain,Language,Grade Level,Difficulty Level,Keywords,Option 1 Text,Option 1 Image,Option 1 Answer,Option 2 Text,Option 2 Image,Option 2 Answer,Option 3 Text,Option 3 Image,Option 3 Answer,Option 4 Text,Option 4 Image,Option 4 Answer,Template Name,Template ID,Options Shuffle,Param 1,Param 2
Unique code for the question,Concepts related to this question (comma separate if more than one),Title for the assessment item,Question Body,Image used in the question body (if any),Audio asset used in the question body (if any),"For numeracy questions, repeat the body image how many times?",Literacy or Numeracy,"Language for the item (Hindi, English, Kannada, Telugu)",Grade level,"How difficult is the question? 
 (EASY, MEDIUM, DIFFICULT, RARE)",Search keywords for this question,"Text - Text of the option
 Image - Image to use in option
 Answer - Yes or No if the option is correct or incorrect",,,,,,,,,,,,Name of the template to use with this question,ID of the template to use with this question,"Yes = shuffle options, No = do not shuffle options",Parameter 1 for templates to use,Parameter 2 for templates to use
pr.hin.mul.a1,C275,गुणा कीजिए,224 X 2 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",448,,Yes,248,,No,981,,No,648,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a2,C275,गुणा कीजिए,327 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",981,,Yes,918,,No,891,,No,2196,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a3,C275,गुणा कीजिए,524 X 4 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2096,,Yes,372,,No,2086,,No,2196,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a4,C275,गुणा कीजिए,124 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",372,,Yes,472,,No,382,,No,362,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a5,C275,गुणा कीजिए,127 X 6 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",762,,Yes,672,,No,1045,,No,752,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a6,C275,गुणा कीजिए,209 X 5 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1045,,Yes,1055,,No,1645,,No,1035,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a7,C275,गुणा कीजिए,235 X 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1645,,Yes,1701,,No,1545,,No,1635,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a8,C275,गुणा कीजिए,189 X 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1701,,Yes,1781,,No,896,,No,1601,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a9,C275,गुणा कीजिए,987 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2961,,Yes,2801,,No,868,,No,2691,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a10,C275,गुणा कीजिए,112 X 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",896,,Yes,869,,No,689,,No,986,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a11,C275,गुणा कीजिए,124 X 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",868,,Yes,686,,No,636,,No,986,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a12,C275,गुणा कीजिए,187 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",561,,Yes,1272,,No,551,,No,661,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a13,C275,गुणा कीजिए,192 X 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1344,,Yes,1272,,No,1244,,No,1344,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a14,C275,गुणा कीजिए,212 X 6 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1272,,Yes,1722,,No,1277,,No,1727,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a15,C275,गुणा कीजिए,224 X 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",672,,Yes,868,,No,682,,No,662,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a16,C275,गुणा कीजिए,247 X 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1976,,Yes,1876,,No,2161,,No,1769,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a17,C275,गुणा कीजिए,125 X 15 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",1875,,Yes,1344,,No,1857,,No,1870,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a18,C275,गुणा कीजिए,218 X 12 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2616,,Yes,2516,,No,2961,,No,2161,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a19,C275,गुणा कीजिए,287 X 16 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",4592,,Yes,4792,,No,4582,,No,4692,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a20,C275,गुणा कीजिए,376 X 13 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",4888,,Yes,1344,,No,4878,,No,4788,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a21,C275,गुणा कीजिए,715 X 18 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",12870,,Yes,2400,,No,13870,,No,12780,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.mul.a22,C275,गुणा कीजिए,200 X 12 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Multiplication, pratham",2400,,Yes,240,,No,2500,,No,1645,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a1,C289,भाग कीजिए,405 ÷ 5 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",81,,Yes,85,,No,91,,No,61,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a2,C289,भाग कीजिए,765 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",85,,Yes,84,,No,75,,No,86,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a3,C289,भाग कीजिए,261 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",29,,Yes,28,,No,19,,No,39,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a4,C289,भाग कीजिए,441 ÷ 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",63,,Yes,442,,No,441,,No,443,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a5,C289,भाग कीजिए,837 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",93,,Yes,83,,No,73,,No,84,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a6,C289,भाग कीजिए,432 ÷ 4 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",108,,Yes,29,,No,18,,No,180,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a7,C289,भाग कीजिए,768 ÷ 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",256,,Yes,257,,No,93,,No,255,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a8,C289,भाग कीजिए,999 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",111,,Yes,108,,No,100,,No,101,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a9,C289,भाग कीजिए,912 ÷ 6 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",152,,Yes,29,,No,142,,No,125,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a10,C289,भाग कीजिए,896 ÷ 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",112,,Yes,81,,No,111,,No,112,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a11,C289,भाग कीजिए,868 ÷ 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",124,,Yes,134,,No,125,,No,114,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a12,C289,भाग कीजिए,450 ÷ 2 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",225,,Yes,124,,No,275,,No,220,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a13,C289,भाग कीजिए,738 ÷ 6 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",123,,Yes,125,,No,124,,No,152,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a14,C289,भाग कीजिए,952 ÷ 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",119,,Yes,108,,No,191,,No,129,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a15,C289,भाग कीजिए,624 ÷ 12 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",52,,Yes,63,,No,42,,No,51,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a16,C289,भाग कीजिए,952 ÷ 14 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",68,,Yes,78,,No,93,,No,63,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a17,C289,भाग कीजिए,912 ÷ 19 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",48,,Yes,49,,No,38,,No,58,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a18,C289,भाग कीजिए,884 ÷ 17 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",52,,Yes,62,,No,51,,No,49,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a19,C289,भाग कीजिए,864 ÷ 18 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",48,,Yes,93,,No,58,,No,38,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a20,C289,भाग कीजिए,946 ÷ 11 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",86,,Yes,48,,No,85,,No,84,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a21,C289,भाग कीजिए,468 ÷ 13 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",36,,Yes,46,,No,35,,No,52,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a22,C289,भाग कीजिए,810 ÷ 15 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",54,,Yes,64,,No,48,,No,55,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a23,C289,भाग कीजिए,524 ÷ 4 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",131,,Yes,14,,No,15,,No,16,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a24,C289,भाग कीजिए,676 ÷ 13 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",52,,Yes,54,,No,51,,No,53,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a25,C289,भाग कीजिए,504 ÷ 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",63,,Yes,64,,No,65,,No,62,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a26,C289,भाग कीजिए,960 ÷ 12 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",80,,Yes,70,,No,85,,No,90,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a27,C289,भाग कीजिए,774 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",86,,Yes,85,,No,87,,No,88,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a28,C289,भाग कीजिए,533 ÷ 13 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",41,,Yes,42,,No,43,,No,64,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a29,C289,भाग कीजिए,760 ÷ 5 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",152,,Yes,151,,No,252,,No,153,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a30,C289,भाग कीजिए,581 ÷ 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",83,,Yes,84,,No,68,,No,63,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a31,C289,भाग कीजिए,972 ÷ 9 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",108,,Yes,107,,No,109,,No,86,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a32,C289,भाग कीजिए,759 ÷ 3 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",253,,Yes,254,,No,252,,No,151,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a33,C289,भाग कीजिए,1000 ÷ 8 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",125,,Yes,124,,No,126,,No,65,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a34,C289,भाग कीजिए,882 ÷ 7 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",126,,Yes,127,,No,125,,No,123,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a35,C289,भाग कीजिए,533 ÷ 13 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",41,,Yes,42,,No,43,,No,44,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a36,C289,भाग कीजिए,935 ÷ 15 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",62.3,,Yes,63.3,,No,64.3,,No,53.3,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a37,C289,भाग कीजिए,720 ÷ 16 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",45,,Yes,43,,No,43,,No,44,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a38,C289,भाग कीजिए,828 ÷ 18 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",46,,Yes,45,,No,48,,No,47,,No,org.ekstep.mcq.t.ta,domain_3490,,,
pr.hin.div.a39,C289,भाग कीजिए,468 ÷ 18 =,,,,Numeracy,Hindi,Grade 4,MEDIUM,"Division, pratham",26,,Yes,25,,No,27,,No,36,,No,org.ekstep.mcq.t.ta,domain_3490,,,
